question,answer
How do I reset my Active Directory password?,You can reset your AD password by visiting the self-service password reset portal at https://passwordreset.company.com. Enter your employee ID and follow the verification steps via your registered mobile number. If you are locked out, contact the helpdesk on ext. 1234 or raise a ServiceNow ticket under category 'Access Management > Password Reset'.
My VPN is not connecting after the latest update. What should I do?,"First, ensure you are running the latest approved version of Cisco AnyConnect (4.10 or above). Clear your VPN cache by navigating to Preferences > Clear Cache. If the issue persists, disconnect from any public Wi-Fi and retry on a mobile hotspot. For persistent failures, raise a P2 incident in ServiceNow with your machine name, OS version, and error screenshot."
How do I request access to a new trading system?,"Submit an access request via ServiceNow under 'Access Management > System Access Request'. You will need your line manager's approval, the business justification, and the specific role/entitlement required. For front-office trading systems (Murex, Anvil, Bloomberg), approval from your desk head is also required. Standard SLA is 3 business days."
I need to be added to a Distribution List. How do I request this?,"Raise a ServiceNow request under 'Email & Collaboration > Distribution List Management'. Provide the DL name, your email address, and your manager's approval. For restricted DLs (e.g. Front Office Trading, Risk Management), additional sign-off from the DL owner is required. Changes are processed within 1 business day."
My Bloomberg terminal is not launching. What are the steps to resolve this?,"Restart the Bloomberg application and check your internet connection. Ensure your Bloomberg B-Unit (hardware token) is connected and the LED is green. If the terminal shows 'License Expired', raise a P1 incident immediately via ServiceNow as this impacts trading capability. Include your terminal ID (visible on the login screen) in the ticket."
How do I request a new software installation on my laptop?,"Submit a software request via ServiceNow under 'Hardware & Software > Software Installation'. Confirm the software is on the approved software catalogue. If not listed, your request will require IT Security review, which adds 5-7 business days. Installations are performed during the next available maintenance window unless marked urgent."
I have accidentally deleted files from a shared drive. Can they be recovered?,"Shared drive files are backed up daily at midnight. Raise a ServiceNow request under 'Data Management > File Recovery' within 30 days of deletion. Provide the full file path, file names, and the approximate date of deletion. Recovery is typically completed within 4 business hours. Personal laptop files without cloud backup cannot be recovered."
How do I set up multi-factor authentication (MFA) for my account?,Navigate to the company identity portal at https://identity.company.com and select 'Set up MFA'. You can register via Microsoft Authenticator (recommended) or SMS. MFA is mandatory for all remote access and privileged accounts. If you lose access to your MFA device, contact the helpdesk immediately — account recovery requires identity verification via your line manager.
My laptop is running very slowly. What should I do first?,"First, restart your machine if you have not done so in the past 24 hours. Check for pending Windows updates under Settings > Windows Update and allow them to install. Close unused applications and browser tabs. If performance does not improve, raise a ServiceNow request under 'Hardware & Software > Performance Issue', including your machine name (visible in System Properties)."
How do I request a new laptop or hardware replacement?,"Submit a hardware request via ServiceNow under 'Hardware & Software > Hardware Request'. Standard laptop refresh cycle is 4 years. Out-of-cycle replacements require line manager approval and IT Asset justification. Approved requests are fulfilled within 5 business days. Collect from your local IT kit room or arrange delivery via the request form."
I am getting a 'Certificate Expired' error when accessing internal applications. What should I do?,"This typically indicates a certificate issue on your machine or the target server. First, check your system clock is correct — certificate errors often occur when the system time is out of sync. If correct, raise a P2 ServiceNow incident with the application name, full error message, and a screenshot. Do not attempt to bypass certificate warnings on trading or risk systems."
How do I get access to the Production environment for deployment?,"Production access is strictly controlled. Submit a request via ServiceNow under 'Access Management > Privileged Access Request'. You must provide your line manager approval, the specific deployment window, the change request number (CAB approved), and the scope of access required. Production access is time-limited and automatically revoked after the deployment window closes."
My email is not syncing on my mobile device. How do I fix this?,"Ensure your mobile device is enrolled in Mobile Device Management (MDM) via the Company Portal app. Go to Settings > Mail > your company account and toggle the account off and on. If the issue persists, remove and re-add the account using your full email address and company credentials. Devices not enrolled in MDM cannot access company email per security policy."
How do I raise a P1 (Critical) incident?,"For P1 incidents affecting trading systems, market data, or risk platforms, call the 24/7 Major Incident hotline on ext. 9999 immediately — do not rely on ServiceNow alone. Simultaneously raise a ServiceNow incident, set priority to P1, and add your manager and the relevant application owner to the notification. The Major Incident Manager will be paged automatically."
What is the process for granting a contractor temporary system access?,"Contractor access requests must be submitted by the sponsoring employee via ServiceNow under 'Access Management > Contractor Access'. Required information: contractor full name, company, start and end dates, systems required, and business justification. All contractor accounts are automatically disabled on the end date. Extension requests must be submitted 5 days before expiry."
How do I connect to a meeting room display screen for a presentation?,"Meeting rooms use Barco ClickShare for wireless presentation. Insert the ClickShare USB button into your laptop — the desktop app launches automatically. Click the button to share your screen. For Teams or Zoom calls, select the room's Teams device as the audio/video source. If the ClickShare button is missing from the room, raise a request under 'AV & Conferencing > Equipment Issue'."
My Jira access has been removed. How do I get it back?,"Access to Jira projects is managed by project administrators. Contact your project admin to reinstate your access, or raise a ServiceNow request under 'Access Management > Application Access > Jira'. Specify the project names and role required (e.g. Developer, Reporter). If you were offboarded and reinstated, your previous access will need to be manually reconfigured."
How do I configure a new printer in the office?,"Go to Settings > Printers & Scanners > Add a Printer. Company printers are published on the network — search by floor and printer name (e.g. FLOOR4-COLOUR-01). If the printer does not appear, raise a ServiceNow request under 'Hardware & Software > Printer Setup' with your office location and floor. Secure print (PIN release) is enabled by default on all colour printers."
